Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rytietiski-paukstienos,Rytietiški paukštienos,"",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,91,1000.0,,0,deny,manual,0.99,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Rytietiskipaukstienos.jpg?v=1634636048,1,,false,,,,,,,,,,,,,,,,,kg,,,active
rytietiski-paukstienos,,,,,,,,,250g,,,,,91-1,1000.0,,0,deny,manual,2.48,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rytietiski-paukstienos,,,,,,,,,350g,,,,,91-2,1000.0,,0,deny,manual,3.47,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rytietiski-paukstienos,,,,,,,,,1kg,,,,,91-3,1000.0,,0,deny,manual,9.90,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rytietiskas-saslykam,Rytietiškas šašlykam,"<p>Prieskoniai suteikia pikantišką skonį mėsos gaminiams, keptoms bulvėms, makaronams.</p>
<p>Sudėtis: valgomoji druska, saldi raudona paprika, česnakai, svogūnai, aštrios raudonos paprikos, kari, biri cukraus pudra, garstyčių sėklos, juodieji pipirai, rūgštingumą reguliuojanti medžiaga citrinų rūgštis, raudonėliai.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,90,1000.0,,0,deny,manual,1.15,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Rytietiskassaslykam.jpg?v=1634635210,1,,false,,,,,,,,,,,,,,,,,kg,,,active
rytietiskas-saslykam,,,,,,,,,250g,,,,,90-1,1000.0,,0,deny,manual,2.88,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rytietiskas-saslykam,,,,,,,,,350g,,,,,90-2,1000.0,,0,deny,manual,4.03,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rytietiskas-saslykam,,,,,,,,,1kg,,,,,90-3,1000.0,,0,deny,manual,11.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rudenelis,Rudenėlis,"<p>Tinka naudoti mėsos gaminių skaninimui ir varškės sūriams gaminti.</p>
<p>Sudėtis: pomidorai, jūros druska, česnakai, svogūnai, bazilikai, salierų lapai.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,89,1000.0,,0,deny,manual,1.65,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Rudenelis.jpg?v=1634635064,1,,false,,,,,,,,,,,,,,,,,kg,,,active
rudenelis,,,,,,,,,250g,,,,,89-1,1000.0,,0,deny,manual,4.12,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
